mode,cyc,Q,nor2_2_30_Y,or3_2_8_A,inv_2_10_A,inv_2_10_Y,nor2_2_30_B,or3_X,nor3_Y,and3_2_10_B,a32o_2_2_X,and4_2_3_A,a21o_2_10_X,and4_2_3_B,dfrtp_2_25_D,and3_2_11_X,o21a_X,and4_2_4_D,xnor2_2_11_B,and4_X
all0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,5,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,6,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,7,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,8,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,9,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,10,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,11,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,12,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,13,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,14,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,15,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,16,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,17,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,18,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,19,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,20,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,21,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,22,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
